name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features
Ainu,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,7,,Ainu Dog,,,An innate sense of direction!,Dog,BrownGreyWhiteTan,Hair,,,,,,,,,Working,,Sharply pointed ears and upturned tail,"Fearless, determined and loyal",Hard,,,,,,,,,,,,,,,,,
Airedale Terrier,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,8,,Airedale Terrier,,,"Very intelligent, independent and strong-minded!",Dog,BrownBlackTan,Hair,,,,,,,,,Terrier,,Long muzzle and square body,"Friendly, adaptable and courageous",Fairly Easy,,,,,,,,,,,,,,,,,
Airedoodle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akbash,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,8,,Akbash,,,Often used as a guard dog!,Dog,BrownWhite,Hair,,,,,,,,,Guard,,Big head and powerful jaws,"Calm, independent, brave and protective",Hard,,,,,,,,,,,,,,,,,
Akita,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,7,,Akita,,,"Very clean, intelligent and loyal!",Dog,BrownGreyBlackWhite,Hair,,10 – 15 years,130 lbs,,,,,,Working,,Pointed ears and upward curving tail,"Intelligent, courageous and fearless",Medium - Hard,,,,,,,,,,,,,,,,,
Akita Shepherd,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownGreyRedBlackWhiteBrindleSilver,Hair,,10 to 13 years,120 lbs,,,,,,,,,"Loyal, hard-working, and courageous",,,,,,,,,,,,,,,,,,
Alabai,['Eurasia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,GreyBlackWhiteBrindleMulti-colored,Hair,,12 – 15 years,110+ lbs,,,,,,,,,"Independent, proud, and affectionate",,,,,,,,,,,,,,,,,,
Alaskan Husky,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownGreyRedBlackWhite,Hair,,10 – 12 years,65 lbs,,,,,,,,,"Energetic, hard-working, and affectionate",,,,,,,,,,,,,,,,,,
Alaskan Klee Kai,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,,,,"the contrasting colored facial mask with the well-defined nose bar down the center of the muzzle, and goggles around the eyes",,,,Omnivore,,,,,,,,GreyRedBlackWhite,Hair,,13-16 years,,,,,1-5 puppies,,,,,,,,,,,,,,,,,,,,Alaska,,,
Alaskan Malamute,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,6,,Alaskan Malamute,,,Often used as sled dogs!,Dog,GreyBlackWhite,Hair,,,,,,,,,Working,,Pointed face and upturned tail,"Affectionate, friendly and loyal",Medium,,,,,,,,,,,,,,,,,
Alaskan Shepherd,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownGreyRedBlueBlackWhiteCreamSilver,Hair,,9-13years,85 lbs,,,,,,,,,"Loyal, attentive, and hard-working",,,,,,,,,,,,,,,,,,
Albacore Tuna,['Ocean'],Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,Thunnus alalunga,,,School,More than a million,Overfishing,The long pectoral fin that stretches across the body,Longfin tuna,A few days,Oceans,Carnivore,,,Albacore tuna,1.0,,,,GreyBlueSilver,Smooth,50 mph,10 - 12 years,Up to 80lbs,1.2m (4ft),,,,"Sharks, billfish, rays, humans, and other tunas",Ray-finned fish,,,,,,,,,,,"Fish, crustaceans, cephalopods, and mollusks",Salt,,,,,,,,,
Albatross,"['Africa', 'North-America', 'Ocean', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,,Diomedeidae,"Squid, krill, and fish",Chicks,Colonial Nesting,Varies by species,Depletion of prey from overfishing,The large size,Mollymawk or gooney bird,A few months,Open seas and oceans,Carnivore,,,Albatross,,The Southern Hemisphere and North Pacific,,,BrownGreyYellowRedBlackWhite,Feathers,50 mph,Up to 50 years,Up to 22lbs (10kg),Up to 4.4ft (1.2m),5 to 10 years,,1,"Humans, sharks, cats, and rats",Bird,,,,,Up to 3.3m (11ft),,3 to 10 months,,,,,,,,,,,,,,
Aldabra Giant Tortoise,['Ocean'],Animalia,Chordata,Reptilia,Testudines,Testudinidae,Geochelone,Geochelone gigantea,"Grasses, Leaves, Flowers",Hatchling,Herd,"200,000",Habitat loss,"Large, high-domed shell",Giant Tortoise,,Grasslands and swamps,Herbivore,,Diurnal,Aldabra Giant Tortoise,1.0,Aldabra atoll in the Indian Ocean,One got to be 255 years old!,Reptile,BrownBlackTan,Scales,0.3 mph,80 - 255 years,150kg - 250kg (330lbs - 550lbs),90cm - 120cm (3ft - 4ft),20 - 30 years,,,"Giant Crab, Humans, Cats",,,,,,,8 months,,15.0,,,,,3 - 6 months,,,,,,,,
Alligator,"['Asia', 'North-America', 'Ocean']",Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Alligator,Alligator mississippiensis,"Fish, Snakes, Turtles",Hatchling,Solitary,1 million/less than 100,Water pollution,Muscular tail half the total body length,Gator,,Marsh and swampland,Carnivore,,Diurnal/Nocturnal,Alligator,2.0,southern USA and China,They have two sets of eyelids!,Reptile,BrownGreyYellowBlackGreen,Scales,15 mph,30 - 60 years,181kg - 363kg (400lbs - 800lbs),2.5cm - 4.5m (8ft - 15ft),10 - 12 years,,,"Human, Birds, Raccoon",,,,,,,2 months,,35.0,,,,Brackish,1- 2 years,,,,,,,,
Alligator Gar,"['Central-America', 'North-America']",Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Atractosteus,Atractosteus spatula,,,Solitary,Unknown,Overhunting,Sharp teeth,Garpike,6-8 days,"Rivers, lakes, swamps, bayous, and estuaries",Carnivore,,,Alligator Gar,1.0,,,,BrownGreyYellowWhiteGreen,Scales,,About 50 years,Up to 350lbs,Up to 3m (10ft),,,,Humans and alligators,Ray-finned fish,,,,,,,,,,,"Fish, turtles, birds, and mammals",Fresh,,,,,,,,,
Alpaca,['South-America'],Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Vicugna,Vicugna pacos,,Cria,Herd,Least concern,Loss of rangeland,Hypoallergenic fleece,Vicugna,242-345 days,"Farms, temperate high meadow",Herbivore,,,Alpaca,1.0,"Andes Mountains of Peru, Bolivia, Ecuador and Chile",,,BrownFawnBlackWhiteTanDark BrownCreamChocolateCaramelBeigeChestnutWhite-BrownBlack-BrownSandyGoldenBlondeLight-Brown,Fur,35 mph,15-20 years,48-84 kilograms (106-185 pounds),120-225 centimeters (4-7 feet),Females 18 months; males two to three years,Around six months,One,,,81-99 centimeters (32-39 inches) to withers,,,,,,,,,,,,,,,,"Hay, pasture grass and/or silage",,,,
